category,focal_species,species_combo,competitor,replicate,ID,N_neighbors,notes,N_stems_with_flowers,N_flowers,N_clipped_stems,N_flrs_on_clipped_stems,Dry_weight,phylogenetic_dist
Interspecific,GC,GC-CG,CG,2,GC-CG-2,2,,,243,,,0.824,
Interspecific,GC,GC-CG,CG,3,GC-CG-3,3,,,301,,,1.142,
Interspecific,GC,GC-CPUR,CPUR,1,GC-CPUR-1,5,,,63,,,0.207,
Interspecific,GC,GC-CPUR,CPUR,2,GC-CPUR-2,5,,,85,,,0.26,
Interspecific,GC,GC-CPUR,CPUR,3,GC-CPUR-3,5,,,26,,,0.172,
Intraspecific,GC,GC-GC,GC,1,GC-GC-1,4,,,68,,,0.245,
Intraspecific,GC,GC-GC,GC,2,GC-GC-2,3,,,63,,,0.218,
Intraspecific,GC,GC-GC,GC,3,GC-GC-3,3,,,171,,,0.498,
Interspecific,GC,GC-NI,NI,1,GC-NI-1,5,,,548,,,1.336,
Interspecific,GC,GC-NI,NI,2,GC-NI-2,3,,,386,,,1.319,
Interspecific,GC,GC-NI,NI,3,GC-NI-3,3,,,,,,,
Interspecific,GC,GC-NS,NS,1,GC-NS-1,5,,,181,,,0.503,
Interspecific,GC,GC-NS,NS,2,GC-NS-2,3,,,372,,,0.8,
Interspecific,GC,GC-NS,NS,3,GC-NS-3,3,,,426,,,,
Interspecific,GC,GC-PF,PF,1,GC-PF-1,3,,,548,,,1.078,
Interspecific,GC,GC-PF,PF,2,GC-PF-2,3,,,304,,,1.152,
Interspecific,GC,GC-PF,PF,3,GC-PF-3,3,,,316,,,1.042,
Alone,MGLO,MGLO,NA,1,MGLO-1,0,,,27,,,,
Alone,MGLO,MGLO,NA,2,MGLO-2,0,,,49,,,,
Alone,MGLO,MGLO,NA,3,MGLO-3,0,,,60,,,,
Interspecific,MGLO,MGLO- BF,BF,1,MGLO- BF-1,3,,,0,,,,
Interspecific,MGLO,MGLO- BF,BF,2,MGLO- BF-2,3,,,14,,,,
Interspecific,MGLO,MGLO- BF,BF,3,MGLO- BF-3,3,,,9,,,,
Alone,MGRA,MGRA,NA,1,MGRA-1,0,,,11,,,0.421,
Alone,MGRA,MGRA,NA,2,MGRA-2,0,,,54,,,1.067,
Alone,MGRA,MGRA,NA,3,MGRA-3,0,,,89,,,0.967,
Interspecific,MGRA,MGRA-CC,CC,1,MGRA-CC-1,5,,,33,,,0.411,
Interspecific,MGRA,MGRA-CC,CC,2,MGRA-CC-2,4,,,,,,,
Interspecific,MGRA,MGRA-CC,CC,3,MGRA-CC-3,5,,,,,,,
Interspecific,MGRA,MGRA-CG,CG,1,MGRA-CG-1,2,,,25,,,0.221,
Interspecific,MGRA,MGRA-CG,CG,2,MGRA-CG-2,2,,,16,,,0.162,
Interspecific,MGRA,MGRA-CG,CG,3,MGRA-CG-3,4,,,10,,,0.133,
Intraspecific,MGRA,MGRA-MGRA,MGRA,1,MGRA-MGRA-1,3,,,7,,,0.141,
Intraspecific,MGRA,MGRA-MGRA,MGRA,2,MGRA-MGRA-2,3,,,40,,,0.541,
Intraspecific,MGRA,MGRA-MGRA,MGRA,3,MGRA-MGRA-3,3,,,30,,,0.384,
Interspecific,MGRA,MGRA-NI,NI,1,MGRA-NI-1,4,,,3,,,0.386,
Interspecific,MGRA,MGRA-NI,NI,2,MGRA-NI-2,2,,,37,,,0.845,
Interspecific,MGRA,MGRA-NI,NI,3,MGRA-NI-3,3,,,36,,,0.417,
Interspecific,MGRA,MGRA-NS,NS,1,MGRA-NS-1,2,,,29,,,0.533,
Interspecific,MGRA,MGRA-NS,NS,2,MGRA-NS-2,3,was entered as 312,,54,,,0.312,
Interspecific,MGRA,MGRA-NS,NS,3,MGRA-NS-3,3,,,66,,,0.897,
Interspecific,MGRA,MGRA-PF,PF,1,MGRA-PF-1,5,,,8,,,0.222,
Interspecific,MGRA,MGRA-PF,PF,2,MGRA-PF-2,4,,,38,,,0.624,
Interspecific,MGRA,MGRA-PF,PF,3,MGRA-PF-3,5,,,20,,,0.361,
Interspecific,MGRA,MGRA-PN,PN,1,MGRA-PN-1,2,,,11,,,0.183,
Interspecific,MGRA,MGRA-PN,PN,2,MGRA-PN-2,2,,,72,,,0.663,
Interspecific,MGRA,MGRA-PN,PN,3,MGRA-PN-3,2,,,23,,,0.289,
Alone,NI,NI,NA,1,NI-1,0,,,115,,,1.568,
Alone,NI,NI,NA,2,NI-2,0,,,178,,,1.429,
Alone,NI,NI,NA,3,NI-3,0,,,127,,,1.399,
Interspecific,NI,NI- GC,GC,1,NI- GC-1,4,,,,,,,
Interspecific,NI,NI- GC,GC,2,NI- GC-2,3,tiny tiny plant,,0,,,0,
Interspecific,NI,NI- GC,GC,3,NI- GC-3,4,,,1,,,0.011,
Interspecific,NI,NI- MGRA,MGRA,1,NI- MGRA-1,3,,,11,,,0.087,
Interspecific,NI,NI- MGRA,MGRA,2,NI- MGRA-2,4,,,6,,,0.036,
Interspecific,NI,NI- MGRA,MGRA,3,NI- MGRA-3,5,,,6,,,0.041,
Interspecific,NI,NI-CC,CC,1,NI-CC-1,5,,,11,,,0.051,
Interspecific,NI,NI-CC,CC,2,NI-CC-2,4,,,47,,,0.356,
Interspecific,NI,NI-CC,CC,3,NI-CC-3,4,,,32,,,0.202,
,,NI-CG,CG,,NI-CG-1B,,second entry called NI-CG-1,,76,,,,
Interspecific,NI,NI-CG,CG,1,NI-CG-1,1,one flower head,1,4,,,0.023,
Interspecific,NI,NI-CG,CG,2,NI-CG-2,2,,,13,,,0.083,
Interspecific,NI,NI-CG,CG,3,NI-CG-3,3,,,3,,,0.014,
Interspecific,NI,NI-CPUR,CPUR,1,NI-CPUR-1,5,,,3,,,0.008,
Interspecific,NI,NI-CPUR,CPUR,2,NI-CPUR-2,5,,,1,,,0.01,
Interspecific,NI,NI-CPUR,CPUR,3,NI-CPUR-3,5,,,1,,,0.005,
Intraspecific,NI,NI-NI,NI,1,NI-NI-1,3,,,17,,,0.198,
Intraspecific,NI,NI-NI,NI,2,NI-NI-2,2,,,42,,,0.524,
Intraspecific,NI,NI-NI,NI,3,NI-NI-3,4,,,58,,,0.708,
Interspecific,NI,NI-NS ,NS,1,NI-NS -1,2,,,43,,,0.446,
Interspecific,NI,NI-NS ,NS,2,NI-NS -2,4,,,18,,,0.207,
Interspecific,NI,NI-NS ,NS,3,NI-NS -3,4,,1,11,0,0,0.115,
Interspecific,NI,NI-PF,PF,1,NI-PF-1,4,,,36,,,0.311,
Interspecific,NI,NI-PF,PF,2,NI-PF-2,2,,,,,,,
Interspecific,NI,NI-PF,PF,3,NI-PF-3,2,,,63,,,0.537,
Interspecific,NI,NI-PN,PN,1,NI-PN-1,2,,,15,,,0.067,
Interspecific,NI,NI-PN,PN,2,NI-PN-2,2,,,26,,,0.204,
Interspecific,NI,NI-PN,PN,3,NI-PN-3,2,,,12,,,0.085,
Alone,NS,NS,NA,1,NS-1,0,,,156,,,2.001,
Alone,NS,NS,NA,2,NS-2,0,,,136,,,1.978,
Alone,NS,NS,NA,3,NS-3,0,,,144,,,2.151,
Interspecific,NS,NS-CG,CG,1,NS-CG-1,2,,,17,,,0.803,
Interspecific,NS,NS-CG,CG,2,NS-CG-2,2,,,10,,,0.078,
Interspecific,NS,NS-CG,CG,3,NS-CG-3,2,,,28,,,0.279,
Interspecific,NS,NS-CPAR,CPAR,1,NS-CPAR-1,5,,,43,,,0.231,
Interspecific,NS,NS-CPAR,CPAR,2,NS-CPAR-2,5,,,18,,,0.144,
Interspecific,NS,NS-CPAR,CPAR,3,NS-CPAR-3,5,,,32,,,0.19,
Interspecific,NS,NS-CPUR,CPUR,1,NS-CPUR-1,5,,,7,,,0.043,
Interspecific,NS,NS-CPUR,CPUR,2,NS-CPUR-2,5,,,7,,,0.056,
Interspecific,NS,NS-CPUR,CPUR,3,NS-CPUR-3,5,,,3,,,0.046,
Interspecific,NS,NS-GC,GC,1,NS-GC-1,2,,,5,,,0.047,
Interspecific,NS,NS-GC,GC,2,NS-GC-2,4,,,4,,,0.022,
Interspecific,NS,NS-GC,GC,3,NS-GC-3,3,,,6,,,0.037,
Interspecific,NS,NS-MGRA,MGRA,1,NS-MGRA-1,5,,,20,,,0.203,
Interspecific,NS,NS-MGRA,MGRA,2,NS-MGRA-2,4,has one NS neighbor,,12,,,0.154,
Interspecific,NS,NS-MGRA,MGRA,3,NS-MGRA-3,4,,,38,,,0.447,
Interspecific,NS,NS-NI ,NI,1,NS-NI -1,2,,,55,,,0.768,
Interspecific,NS,NS-NI ,NI,2,NS-NI -2,2,,,71,,,0.827,
Interspecific,NS,NS-NI ,NI,3,NS-NI -3,5,,,23,,,0.282,
Intraspecific,NS,NS-NS,NS,1,NS-NS-1,2,,,48,,,0.76,
Intraspecific,NS,NS-NS,NS,2,NS-NS-2,2,,,71,,,0.858,
Intraspecific,NS,NS-NS,NS,3,NS-NS-3,4,,,50,,,0.591,
Alone,PC,PC,NA,1,PC-1,0,,6,158,0,0,0.458,
Alone,PC,PC,NA,2,PC-2,0,,6,79,1,10,0.338,
Alone,PC,PC,NA,3,PC-3,0,,5,206,0,0,0.279,
Intraspecific,PC,PC-PC,PC,1,PC-PC-1,4,,3,26,0,0,0.035,
Intraspecific,PC,PC-PC,PC,2,PC-PC-2,3,,7,132,0,0,,
Intraspecific,PC,PC-PC,PC,3,PC-PC-3,4,,5,97,0,0,0.195,
Alone,PF,PF,NA,1,PF-1,0,,,217,,,0.758,
Alone,PF,PF,NA,2,PF-2,0,,,146,,,0.404,
Alone,PF,PF,NA,3,PF-3,0,,,484,,,0.855,
Interspecific,PF,PF-CC,CC,1,PF-CC-1,4,,,64,,,0.88,
Interspecific,PF,PF-CC,CC,2,PF-CC-2,4,,,114,,,0.352,
Interspecific,PF,PF-CC,CC,3,PF-CC-3,5,,,101,,,0.246,
Interspecific,PF,PF-CPUR,CPUR,1,PF-CPUR-1,5,,,,,,,
Interspecific,PF,PF-CPUR,CPUR,2,PF-CPUR-2,5,,,,,,,
Interspecific,PF,PF-CPUR,CPUR,3,PF-CPUR-3,5,,,9,,,0.028,
Interspecific,PF,PF-GC,GC,1,PF-GC-1,4,,,,,,,
Interspecific,PF,PF-GC,GC,2,PF-GC-2,2,,,8,,,0.021,
Interspecific,PF,PF-GC,GC,3,PF-GC-3,3,,1,9,,,0.012,
Interspecific,PF,PF-MGRA,MGRA,1,PF-MGRA-1,5,,,0,,,0.023,
Interspecific,PF,PF-MGRA,MGRA,2,PF-MGRA-2,5,,,6,,,0.053,
Interspecific,PF,PF-MGRA,MGRA,3,PF-MGRA-3,4,,,28,,,0.121,
Interspecific,PF,PF-NI,NI,1,PF-NI-1,3,,,35,,,0.108,
Interspecific,PF,PF-NI,NI,2,PF-NI-2,4,,,24,,,0.139,
Interspecific,PF,PF-NI,NI,3,PF-NI-3,2,,,18,,,0.043,
Intraspecific,PF,PF-PF,PF,1,PF-PF-1,4,,,57,,,0.143,
Intraspecific,PF,PF-PF,PF,2,PF-PF-2,3,,,154,,,0.256,
Intraspecific,PF,PF-PF,PF,3,PF-PF-3,3,,,14,,,0.073,
Interspecific,PF,PF-PN ,PN,1,PF-PN -1,1,,,57,,,0.14,
Interspecific,PF,PF-PN ,PN,2,PF-PN -2,1,,10,147,,,1.181,
Interspecific,PF,PF-PN ,PN,3,PF-PN -3,2,,,26,,,0.05,
Alone,PN,PN,NA,1,PN-1,0,,,84,,,1.139,
Alone,PN,PN,NA,2,PN-2,0,,5,73,,,0.749,
Alone,PN,PN,NA,3,PN-3,0,,,26,,,0.393,
Interspecific,PN,PN-CA,CA,1,PN-CA-1,5,,1,4,,,0.007,
Interspecific,PN,PN-CA,CA,2,PN-CA-2,5,,,19,,,0.271,
Interspecific,PN,PN-CA,CA,3,PN-CA-3,5,,6,100,,,0.887,
Interspecific,PN,PN-CC,CC,1,PN-CC-1,2,,1,6,,,0.038,
Interspecific,PN,PN-CC,CC,2,PN-CC-2,3,,,,,,,
Interspecific,PN,PN-CC,CC,3,PN-CC-3,5,,2,35,,,0.176,
Interspecific,PN,PN-MGRA,MGRA,1,PN-MGRA-1,3,flower count might be 7,,,,,0.054,
Interspecific,PN,PN-MGRA,MGRA,2,PN-MGRA-2A,4,,6,97,,,0.566,
Interspecific,PN,PN-MGRA,MGRA,3,PN-MGRA-3,3,,4,59,0,0,0.33,
Interspecific,PN,PN-NI,NI,1,PN-NI-1,2,,,85,,,0.814,
Interspecific,PN,PN-NI,NI,2,PN-NI-2,4,,3,43,0,0,0.224,
Interspecific,PN,PN-NI,NI,3,PN-NI-3,3,,4,48,0,0,0.204,
Interspecific,PN,PN-PF ,PF,1,PN-PF -1,2,,,69,,,0.585,
Interspecific,PN,PN-PF ,PF,2,PN-PF -2,3,,2,17,,,0.087,
Interspecific,PN,PN-PF ,PF,3,PN-PF -3,2,,,87,,,0.569,
Intraspecific,PN,PN-PN,PN,1,PN-PN-1,2,,,59,,,0.39,
Intraspecific,PN,PN-PN,PN,2,PN-PN-2,3,,4,36,,,0.228,
Intraspecific,PN,PN-PN,PN,3,PN-PN-3,2,,,59,,,0.539,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
,,,NA,,,,,,,,,,
